HTC,HTC Incredible S,,
AMOI,AMOI N807,,
AMOI,AMOI N821,,
AMOI,AMOI M8228,,
AMOI,AMOI N816,,
AMOI,AMOI N828,,
AMOI,AMOI N828,,
AMOI,AMOI N828,,
AMOI,AMOI_N89,,
AMOI,AMOI N828,,
AMOI,AMOI N890,,
AMOI,AMOI N821,,
AMOI,AMOI N828,,
AMOI,AMOI N821,,
AMOI,AMOI N821,,
AMOI,AMOI N821,,
AMOI,AMOI N828,,
AMOI,AMOI N828,,
AMOI,AMOI N821,,
AMOI,AMOI E700C,,
AMOI,AMOI N828,,
AMOI,AMOI N820,,
AMOI,AMOI N820,,
AMOI,AMOI N890,,
AMOI,AMOI N808,,
AMPE,A79Q,,
AMPE,A79Q,,
AMPE,A79Q,,
Android,G9C_JLF2,,
android,A800,,
Android,TD999,,
Android,TD999,,
android,N505,,
Android,G9C_LX,,
android,JY805,,
android,G7,,
android,A301C,,
android,X910,,
android,G7,,
android,G7,,
Android,G9C_JLF4,,
android,X7,,
Android,X3,,
Android,AUX V926T,,
android,A301C,,
android,A9,,
android,UPOO_U2,,
android,L8303,,
Android,X810i,,
android,M7S,,
Android,Android(MT6589/4�?,,
Android,G9C_GC,,
android,G9C,,
Android,XL_M6,,
android,GIPO-T200,,
Android,KONKA V920,,
Android,S2,,
android,LH801,,
Android,D9,,
Android,it319TD,,
android,L8109,,
Android,G9C_JLF2,,
AOLE B,AOLE 616 B,,
aoson,M30Q,,
aoson,M30Q,,
aoson,aoson m33,,
aoson,M30Q,,
aoson,M30Q,,
aoson,M30Q,,
Apple,iphone 5,,
archos,Archos 53 Platinum,,
archos,ARCHOS 80 COBALT,,
archos,ARCHOS 97 CARBON,,
arnova,ARNOVA 90G3,,
AS,V13,,
AS,T103,,
AS,V13,,
asus,PadFone 2,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,ASUS Transformer Pad TF300T,,
asus,PadFone,,
asus,ME172V,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,ME171,,
asus,PadFone,,
asus,PadFone 2,,
asus,PadFone,,
asus,PadFone,,
asus,ME172V,,
asus,PadFone,,
asus,PadFone,,
asus,ME171,,
asus,ME371MG,,
asus,ME172V,,
asus,PadFone 2,,
asus,PadFone 2,,
asus,PadFone 2,,
asus,ME171,,
asus,PadFone,,
asus,ASUS A80,,
asus,ME171,,
asus,ME172V,,
asus,PadFone Infinity,,
asus,PadFone 2,,
asus,ME301T,,
asus,ASUS Transformer Pad TF300T,,
asus,Nexus 7,,
asus,ME371MG,,
asus,PadFone,,
asus,PadFone,,
asus,PadFone Infinity,,
asus,Transformer TF101,,
asus,ASUS A80,,
asus,PadFone,,
asus,Nexus 7,,
asus,ASUS Transformer Pad TF300T,,
asus,PadFone,,
asus,PadFone 2,,
asus,Nexus 7,,
asus,PadFone,,
asus,ME371MG,,
asus,PadFone Infinity,,
asus,ME371MG,,
asus,ME371MG,,
asus,ME371MG,,
asus,Nexus 7,,
asus,Transformer Prime TF201,,
asus,ME371MG,,
asus,ASUS Transformer Pad TF300T,,
asus,ME371MG,,
asus,PadFone,,
asus,Transformer TF101G,,
asus,PadFone,,
asus,Nexus 7,,
asus,Transformer TF101,,
asus,PadFone,,
asus,ME172V,,
asus,ME172V,,
asus,ME172V,,
asus,PadFone,,
asus,Transformer Prime TF201,,
asus,ME173X,,
asus,PadFone Infinity,,
asus,ASUS A80,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,PadFone 2,,
asus,PadFone Infinity,,
asus,Nexus 7,,
asus,ASUS Transformer Pad TF300T,,
asus,ME371MG,,
asus,ME371MG,,
asus,ME171,,
asus,PadFone 2,,
asus,ME173X,,
asus,PadFone 2,,
asus,ME173X,,
asus,ASUS Transformer Pad TF300T,,
asus,ME172V,,
asus,PadFone 2,,
asus,Transformer TF101,,
asus,ME172V,,
asus,Transformer Prime TF201,,
asus,Nexus 7,,
asus,ME173X,,
asus,Nexus 7,,
asus,ASUS A80,,
asus,Transformer TF101,,
asus,PadFone 2,,
asus,Transformer TF101,,
asus,ME173X,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,Nexus 7,,
asus,Nexus 7,,
