=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   779,(广西北海)     中国电信电信        :   ID=70   10001,      109
   936,(甘肃张掖)     中国联通联通2G      :   ID=35   10010,      CXLL
   662,(广东阳江)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   856,(贵州铜仁)     中国联通联通3G      :   ID=26   10010,      1071
   452,(黑龙江齐齐哈尔)中国联通联通3G      :   ID=39   10010,      2082
   816,(四川绵阳)     中国联通联通2G      :   ID=61   10010,      704
   412,(辽宁鞍山)     中国联通联通2G      :   ID=58   10010,      110
   770,(广西防城港)   中国联通联通2G      :   ID=35   10010,      CXLL
   573,(浙江嘉兴)     中国移动全球通      :   ID=66   10086,      1581
   758,(广东肇庆)     中国电信电信        :   ID=52   10001,      702
   431,(吉林长春)     中国移动全球通      :   ID=20   10086,      CXSJLL
   776,(广西百色)     中国移动动感地带    :   ID=69   10086,      103
   579,(浙江金华)     中国移动动感地带    :   ID=66   10086,      1581
   718,(湖北恩施)     中国联通联通3G      :   ID=59   10010,       2082
   351,(山西太原)     中国移动全球通      :   ID=63   10086,      162
   527,(江苏沭阳)     中国联通联通3G      :   ID=31   10010,      705
    27,(湖北武汉)     中国联通联通3G      :   ID=59   10010,       2082
   434,(吉林四平)     中国移动神州行      :   ID=20   10086,      CXSJLL
   570,(浙江衢州)     中国移动动感地带    :   ID=66   10086,      1581
   755,(广东深圳)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   795,(江西宜春)     中国移动全球通      :   ID=68   10086,      102
   934,(甘肃西峰)     中国移动全球通      :   ID=71   10086,      105
   663,(广东揭阳)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   564,(安徽寿县)     中国联通联通3G      :   ID=26   10010,      1071
   971,(青海西宁)     中国联通联通3G      :   ID=39   10010,      2082
   576,(浙江台州)     中国移动全球通      :   ID=66   10086,      1581
   354,(山西榆次)     中国移动神州行      :   ID=63   10086,      162
   715,(湖北咸宁)     中国移动全球通      :   ID=19   10086,      CXLL
   826,(四川广安)     中国联通联通3G      :   ID=61   10010,      704
   937,(甘肃酒泉)     中国联通联通2G      :   ID=35   10010,      CXLL
   314,(河北承德)     中国联通联通2G      :   ID=62   10010,      7011#201309
   774,(广西梧州)     中国移动动感地带    :   ID=69   10086,      103
   561,(安徽濉溪)     中国移动动感地带    :   ID=64   10086,      66
   746,(湖南永州)     中国联通联通3G      :   ID=39   10010,      2082
   555,(安徽当涂)     中国联通联通3G      :   ID=26   10010,      1071
    24,(辽宁沈阳)     中国联通联通2G      :   ID=58   10010,      110
   817,(四川南充)     中国联通联通3G      :   ID=61   10010,      704
   561,(安徽濉溪)     中国移动全球通      :   ID=64   10086,      66
   419,(辽宁辽阳)     中国移动全球通      :   ID=57   10086,      119
   737,(湖南益阳)     中国联通联通3G      :   ID=39   10010,      2082
   777,(广西钦州)     中国电信电信        :   ID=70   10001,      109
   771,(广西南宁)     中国联通联通2G      :   ID=35   10010,      CXLL
   552,(安徽固镇)     中国联通联通2G      :   ID=65   10010,      5142
   954,(宁夏固原)     中国移动神州行      :   ID=72   10086,      17*09#
   534,(山东德州)     中国联通联通3G      :   ID=27   10010,      412
   438,(吉林松原)     中国移动神州行      :   ID=20   10086,      CXSJLL
   756,(广东珠海)     中国电信电信        :   ID=52   10001,      702
   935,(甘肃金昌)     中国移动动感地带    :   ID=71   10086,      105
    22,(天津天津)     中国联通联通2G      :   ID=55   10010,      107
   722,(湖北随枣)     中国移动动感地带    :   ID=19   10086,      CXLL
   429,(辽宁葫芦岛)   中国移动全球通      :   ID=57   10086,      119
   565,(安徽含山)     中国联通联通2G      :   ID=65   10010,      5142
   358,(山西离石)     中国移动神州行      :   ID=63   10086,      162
   716,(湖北荆沙)     中国联通联通3G      :   ID=59   10010,       2082
   728,(湖北仙桃)     中国移动全球通      :   ID=19   10086,      CXLL
   768,(广东潮州)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   435,(吉林通化)     中国移动动感地带    :   ID=20   10086,      CXSJLL
   571,(浙江杭州)     中国移动神州行      :   ID=66   10086,      1581
   349,(山西朔州)     中国移动全球通      :   ID=63   10086,      162
   793,(江西上饶)     中国移动动感地带    :   ID=68   10086,      102
   932,(甘肃定西)     中国移动神州行      :   ID=71   10086,      105
    22,(天津天津)     中国移动神州行      :   ID=54   10086,      话费
   775,(广西玉林)     中国移动全球通      :   ID=69   10086,      103
   355,(山西长治)     中国移动动感地带    :   ID=63   10086,      162
   713,(湖北黄冈)     中国移动动感地带    :   ID=19   10086,      CXLL
   556,(安徽岳西)     中国移动全球通      :   ID=64   10086,      66
    25,(江苏南京)     中国联通联通3G      :   ID=31   10010,      705
   753,(广东梅州)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   793,(江西上饶)     中国移动全球通      :   ID=68   10086,      102
   596,(福建漳州)     中国联通联通2G      :   ID=35   10010,      CXLL
   550,(安徽明光)     中国联通联通2G      :   ID=65   10010,      5142
   315,(河北唐山)     中国联通联通2G      :   ID=62   10010,      7011#201309
   562,(安徽铜陵县)   中国联通联通3G      :   ID=26   10010,      1071
   713,(湖北黄冈)     中国移动全球通      :   ID=19   10086,      CXLL
   556,(安徽岳西)     中国移动动感地带    :   ID=64   10086,      66
   778,(广西河池)     中国移动神州行      :   ID=69   10086,      103
   432,(吉林吉林)     中国移动全球通      :   ID=20   10086,      CXSJLL
   766,(广东云浮)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   593,(福建宁德)     中国联通联通2G      :   ID=35   10010,      CXLL
   550,(安徽明光)     中国移动神州行      :   ID=64   10086,      66
   439,(吉林临江)     中国移动神州行      :   ID=20   10086,      CXSJLL
   744,(湖南张家界)   中国联通联通3G      :   ID=39   10010,      2082
   352,(山西大同)     中国移动全球通      :   ID=63   10086,      162
   417,(辽宁营口)     中国移动动感地带    :   ID=57   10086,      119
   553,(安徽南陵)     中国联通联通3G      :   ID=26   10010,      1071
   359,(山西运城)     中国移动神州行      :   ID=63   10086,      162
   831,(四川宜宾)     中国联通联通3G      :   ID=61   10010,      704
   757,(广东佛山)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
    23,(重庆重庆)     中国移动神州行      :   ID=56   10086,      查流量
   417,(辽宁营口)     中国移动全球通      :   ID=57   10086,      119
    29,(陕西长安)     中国联通联通2G      :   ID=26   10010,      1071
   717,(湖北宜昌)     中国联通联通2G      :   ID=60   10010,      查询流量
   532,(山东青岛)     中国联通联通3G      :   ID=27   10010,      412
   754,(广东汕头)     中国电信电信        :   ID=52   10001,      702
   551,(安徽长丰)     中国移动神州行      :   ID=64   10086,      66
   859,(贵州兴义)     中国联通联通3G      :   ID=26   10010,      1071
   455,(黑龙江绥化)   中国联通联通3G      :   ID=39   10010,      2082
   760,(广东中山)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   714,(湖北黄石)     中国联通联通3G      :   ID=59   10010,       2082
   825,(四川遂宁)     中国联通联通2G      :   ID=61   10010,      704
   310,(河北邯郸)     中国联通联通3G      :   ID=39   10010,      2082
   421,(辽宁朝阳)     中国联通联通2G      :   ID=58   10010,      110
   668,(广东茂名)     中国移动神州行      :   ID=51   10086,      CXGPRSTC
   976,(青海玉树)     中国联通联通3G      :   ID=39   10010,      2082
   523,(江苏泰州)     中国联通联通3G      :   ID=31   10010,      705
   930,(甘肃临夏市)   中国移动神州行      :   ID=71   10086,      105
   551,(安徽长丰)     中国联通联通2G      :   ID=65   10010,      5142
   662,(广东阳江)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   773,(广西桂林)     中国移动全球通      :   ID=69   10086,      103
